address,amount
0xec6119051f7adc31,2592.751269
0x3240070f734beb41,2038.065298
0xf123d879645cdbaa,1589.9
0x56a18a2ba3184cff,1433
0x1ef92f69d52d0c56,1345.3
0xd3dcd31dc3bb649a,1141.6
0x051b60b0ceb1a026,773.4291646
0x397439495b280372,716.8
0x702b5258bcaf535d,654
0x944486047ba2a7b6,630
0x8ac4560b2c9ce43b,537.6
0xc8814d7df3d64d4f,481.8
0xc67313d1a264bdb6,438
0x7a1b804a47a0b971,437
0xa3cd82d89aa6429f,382.9
0x102a6c9d01c7aa01,355
0x62e1bd76b8464116,335
0x76d092de6f78a50d,328
0xbbb79cc66789a20d,310
0x28220ddcf9a8b954,294
0x9dc6da80b33d5252,292
0x90fdcaef11ab7f1c,286
0xc38f11d87427bb5e,275
0xfd1da7a5f34a9567,272
0x25dc3535d6b1b919,270
0x102eb4b51c871614,250
0xeb10d28a2db165ab,244
0x31b734c8bbe5aaf3,242.8
0x18d7e8fd44629257,234
0xaa0d82a3d4a37772,232
0x32ebf6f348a0d69d,230
0x33c221718d0b93ca,229
0x66585205af7746e5,228
0x2983811d46103225,226
0x3cf10b3486dd5904,211
0x2f779cf8f6c9d5e4,208
0x03e29a2ce18151c3,197
0x0d46e8770360f301,194.6
0xfb533607b84983d7,191
0x57b76ecced540397,188
0xe43b01dbf542d2e9,183
0x9a72bc566fbb9ea7,182
0x95d92022e6716b3e,177
0xe379ece7345e0282,177
0x5c9d5fb2ef6e8908,174
0x3d0b274c80263484,170.1732286
0x2a924b6f3b48e6be,163
0x508abfd3970f5872,161
0x41828559a3611351,161
0xd1d4001001b156a2,154
0x7dbf365aa3fc72f7,150.9999925
0x1e4aa0b87d10b141,147
0xc28cf66fd877900e,147
0xd3ab4a1046ca6697,143
0xc3792a096d3ab2eb,142
0x028f117ee61f6344,141
0xb995394bd241d5d2,140
0xc64ecfb134185429,139
0xefc0e5a48b6c046e,139
0x08ab3392f55bc927,138
0x36e330f36982a674,137
0x9500c133843295b3,135
0xd96dc67ae64ee202,133
0x165ab2efd0029533,124
0x41f5ab2d188bbd7f,121.9
0xfbf1764fac8b9597,121
0xed61fb0c59f8e4aa,121
0x612cdf8793b8fa9c,120
0x074810e37b478059,111
0xb2479232bb4964d4,111
0xbbe501c87f524be6,108
0xdc11147b3157def7,108
0xbd5baca4afea1bfa,106
0xf485bc7c3d368579,103
0x452c3e994fadab66,97
0x30c644ab0eeebfb5,93
0x133533512316c65e,92
0x1825e048af29c156,90.00241255
0x9864a4c667629285,90
0x8630fa754bf11151,89
0x9cf0106e3d2fa911,89
0x642a5a58863780c2,83
0x8de0e974dcb8917c,82
0x74a06f8b337a77da,80
0xcbde9c8d76c6b573,79
0x15c8f3f8b46e87d7,77
0xc0bcb62c340ee55a,77
0x4687f64964af0f21,75
0xc1e47a6395b0b575,74
0xaf1590597d1fef86,71
0x62a6246a789d75cd,71
0x4d2245cab8da3fca,70
0xbf6a8e0595b02007,69
0xfb71d355033f21b8,68
0x1bd307679ea4723b,66
0xb3a446562db0b5e8,65
0xd43cb73848525961,63
0xaf3d026b7e690632,60
0x7b48a6a783e5efc5,60
0xe6b244ef21eff7b3,58
0xc973dfd81534d87b,55
0x4533d23924b692b1,52
0x4d10030f420afc71,51
0x976f47c9b8cdfcf8,50
0xba877810145ed2e7,50
0x504c1076a98c87de,50
0xe2a520558907f9d2,50
0x97f8112f990a243c,45
0x424acda2d56bf716,45
0x4ead931dc8021796,43
0x9e2641bee264cd49,42
0x5b70ca16c084a37c,42
0x42afa7d59032e3ea,40
0x4e8b5eaaa318dfb2,40
0xf8f90ac4f8786d15,39
0x4c3088c9cb744b74,38
0x452930322f92d6b5,37
0x3599624bcdde0921,37
0x5ca9b36e3d4f1f11,37
0xb8023f7992b2858d,36
0xccb8e47affc0e2bf,36
0x38b55e0378f3f337,36
0x1791250350520410,35
0x999ae5f63a0b9de2,35
0xebc89261183fe7cb,35
0x506ec1c19831396b,35
0xd0ffb89e5f7bf5d2,32
0x2efe25443f89640e,31
0x41832d7f19df1356,31
0x71e5df73b80e5ae5,31
0x9af268763d2f7f36,30
0xa2ff50e146a5c33b,30
0x42921f1da9563ce4,26
0xdca01a4ef4307f45,25
0x86b6a3783ef53202,25
0x8be6f5f86a595956,25
0xae040eea16224a2d,25
0x27867267467e8812,25
0x46b57d0ac8fe3b3c,25
0x45d0d4992dc8bc40,23
0x2a54d3371ac70684,22
0x3a32aba484ff8b18,22
0xcbba4d41aef83fe3,21.6
0xf8adc09847d6e1ac,21
0x8310da32355a2289,20
0x8c3315556113a273,19.61939709
0x57463ceaa8872a93,19
0x4f0d75915d71bef1,17
0x8383fbe3dbc32e32,17
0xb9a4521650ae908f,16.85922979
0xc1cc00884b7a0f1e,16
0x9f6d588991d289de,15
0x489740a464f1bb06,15
0xfd59ba82155a705f,14
0x46ea35db129530bc,13
0x0c4ed95a40fdef67,10
0x66573cba0641b6e9,10
0x243bbfbeab0daf10,10
0x5246af903e58a777,10
0x6cb9cd0bbe0670d7,10
0x14d03c768a56e17a,10
0xb6056e04f851b809,10
0x6be8805d03fc3a36,10
0x2c3122964f50851d,8
0x9c881b9673623a7d,7
0xb59a4811793bf886,5
0xf7a67af90ba10e8a,5
0x46e1306f37a34ac2,5
0xffa8eb6a5923bb28,5
0x500f789a500c1c5a,5
0xff09dc3368b95e63,5
0x141f9914ad2c9868,5
0xe452a2f5665728f5,5
0xd3b62ffbbc632f5a,5
0x69216aaf0f0e62c8,5
0x38cf99908b9f8edf,5
0xfd240a3cda97d620,5
0x3ffc49d96b141b03,5
0x9642d07ef64c85bc,5
0xf0b2563d416a82ee,5
0xf836f45c93fe71bf,4
0xd3e34e992cb480a8,3
0xda57d60ba2c93ec7,3
0x4f0e3ae25dc4e613,3
0x6ed2760ba7c086ca,1
0x60ab1f8bd07bac1b,1
0x24729d0b8d351f7f,0.00000755
0x9e1275896f841823,0
0x1161b18235962412,0
0x1c2960c189cbb2c3,0
0x4cacc6a66155e65e,0
0x0be159593140fb4d,0
0xe0a47dcc7bd5f297,0
0x5fd3688e55f75f1b,0
0x2fc9eb7417840396,0
0x6e0883e175df04d5,0
0x2592423dda6459a2,0
0xb508ef8368638982,0
0x571ceb2395dfe1e4,0
0x8af6cf154f849c33,0
0x82279ecfe3191f30,0
0xa4a7037a19f7bf06,0
0xd2035fcee3dbc565,0
0xfa3643f331081ca3,0
0xdfe2cfa666c433fc,0
0x16685b35f8cc3ee2,0
0x429e3357427d72a4,0
0x39bd8fa7414207cb,0
0xc7a91f3eb3aea1ff,0